event_id,user_id,event,event_time
E00113,U029,add_to_cart,2025-01-09T03:00:00
E00114,U029,purchase,2025-01-09T04:00:00
E00115,U030,signup,2025-01-10T02:00:00
E00116,U030,view,2025-01-10T03:00:00
E00117,U030,active,2025-01-17T04:00:00
E00118,U031,signup,2025-01-11T03:00:00
E00119,U031,view,2025-01-11T04:00:00
E00120,U031,add_to_cart,2025-01-11T05:00:00
E00121,U031,purchase,2025-01-11T06:00:00
E00122,U032,signup,2025-01-12T04:00:00
E00123,U032,view,2025-01-12T05:00:00
E00124,U032,add_to_cart,2025-01-12T06:00:00
E00125,U032,purchase,2025-01-12T07:00:00
E00126,U032,active,2025-01-19T06:00:00
E00127,U033,signup,2025-01-13T05:00:00
E00128,U033,view,2025-01-13T06:00:00
E00129,U033,add_to_cart,2025-01-13T07:00:00
E00130,U033,active,2025-01-23T05:00:00
E00131,U034,signup,2025-01-14T06:00:00
E00132,U034,view,2025-01-14T07:00:00
E00133,U034,add_to_cart,2025-01-14T08:00:00
E00134,U034,purchase,2025-01-14T09:00:00
E00135,U034,active,2025-01-21T08:00:00
E00136,U035,signup,2025-01-15T00:00:00
E00137,U035,view,2025-01-15T01:00:00
E00138,U036,signup,2025-01-16T01:00:00
E00139,U036,view,2025-01-16T02:00:00
E00140,U036,add_to_cart,2025-01-16T03:00:00
E00141,U036,active,2025-01-23T03:00:00
E00142,U037,signup,2025-01-17T02:00:00
E00143,U037,view,2025-01-17T03:00:00
E00144,U037,add_to_cart,2025-01-17T04:00:00
E00145,U037,purchase,2025-01-17T05:00:00
E00146,U038,signup,2025-01-18T03:00:00
E00147,U038,view,2025-01-18T04:00:00
E00148,U038,add_to_cart,2025-01-18T05:00:00
E00149,U038,purchase,2025-01-18T06:00:00
E00150,U038,active,2025-01-25T05:00:00
E00151,U039,signup,2025-01-19T04:00:00
E00152,U039,view,2025-01-19T05:00:00
E00153,U039,add_to_cart,2025-01-19T06:00:00
E00154,U040,signup,2025-01-20T05:00:00
E00155,U040,view,2025-01-20T06:00:00
E00156,U040,active,2025-01-27T07:00:00
E00157,U041,signup,2025-02-01T06:00:00
E00158,U041,view,2025-02-01T07:00:00
E00159,U041,add_to_cart,2025-02-01T08:00:00
E00160,U041,purchase,2025-02-01T09:00:00
E00161,U042,signup,2025-02-02T00:00:00
E00162,U042,view,2025-02-02T01:00:00
E00163,U042,add_to_cart,2025-02-02T02:00:00
E00164,U042,active,2025-02-09T02:00:00
E00165,U043,signup,2025-02-03T01:00:00
E00166,U043,view,2025-02-03T02:00:00
E00167,U043,add_to_cart,2025-02-03T03:00:00
E00168,U043,purchase,2025-02-03T04:00:00
E00169,U044,signup,2025-02-04T02:00:00
E00170,U044,view,2025-02-04T03:00:00
E00171,U044,add_to_cart,2025-02-04T04:00:00
E00172,U044,purchase,2025-02-04T05:00:00
E00173,U044,active,2025-02-14T02:00:00
E00174,U045,signup,2025-02-05T03:00:00
E00175,U045,view,2025-02-05T04:00:00
E00176,U045,active,2025-02-12T05:00:00
E00177,U046,signup,2025-02-06T04:00:00
E00178,U046,view,2025-02-06T05:00:00
E00179,U046,add_to_cart,2025-02-06T06:00:00
E00180,U046,purchase,2025-02-06T07:00:00
E00181,U047,signup,2025-02-07T05:00:00
E00182,U047,view,2025-02-07T06:00:00
E00183,U047,add_to_cart,2025-02-07T07:00:00
E00184,U047,purchase,2025-02-07T08:00:00
E00185,U048,signup,2025-02-08T06:00:00
E00186,U048,view,2025-02-08T07:00:00
E00187,U048,add_to_cart,2025-02-08T08:00:00
E00188,U048,active,2025-02-15T08:00:00
E00189,U049,signup,2025-02-09T00:00:00
E00190,U049,view,2025-02-09T01:00:00
E00191,U049,add_to_cart,2025-02-09T02:00:00
E00192,U049,purchase,2025-02-09T03:00:00
E00193,U050,signup,2025-02-10T01:00:00
E00194,U050,view,2025-02-10T02:00:00
E00195,U051,signup,2025-02-11T02:00:00
E00196,U051,view,2025-02-11T03:00:00
E00197,U051,add_to_cart,2025-02-11T04:00:00
E00198,U051,active,2025-02-18T04:00:00
E00199,U052,signup,2025-02-12T03:00:00
E00200,U052,view,2025-02-12T04:00:00
E00201,U052,add_to_cart,2025-02-12T05:00:00
E00202,U052,purchase,2025-02-12T06:00:00
E00203,U053,signup,2025-02-13T04:00:00
E00204,U053,view,2025-02-13T05:00:00
E00205,U053,add_to_cart,2025-02-13T06:00:00
E00206,U053,purchase,2025-02-13T07:00:00
E00207,U054,signup,2025-02-14T05:00:00
E00208,U054,view,2025-02-14T06:00:00
E00209,U054,add_to_cart,2025-02-14T07:00:00
E00210,U054,active,2025-02-21T07:00:00
E00211,U055,signup,2025-02-15T06:00:00
E00212,U055,view,2025-02-15T07:00:00
E00213,U055,active,2025-02-25T06:00:00
E00214,U056,signup,2025-02-16T00:00:00
E00215,U056,view,2025-02-16T01:00:00
E00216,U056,add_to_cart,2025-02-16T02:00:00
E00217,U056,purchase,2025-02-16T03:00:00
E00218,U057,signup,2025-02-17T01:00:00
E00219,U057,view,2025-02-17T02:00:00
E00220,U057,add_to_cart,2025-02-17T03:00:00
E00221,U057,active,2025-02-24T03:00:00
E00222,U058,signup,2025-02-18T02:00:00
E00223,U058,view,2025-02-18T03:00:00
E00224,U058,add_to_cart,2025-02-18T04:00:00
E00225,U058,purchase,2025-02-18T05:00:00
E00226,U059,signup,2025-02-19T03:00:00
E00227,U059,view,2025-02-19T04:00:00
E00228,U059,add_to_cart,2025-02-19T05:00:00
E00229,U059,purchase,2025-02-19T06:00:00
E00230,U060,signup,2025-02-20T04:00:00
E00231,U060,view,2025-02-20T05:00:00
E00232,U060,active,2025-02-27T06:00:00
E00233,U061,signup,2025-02-01T05:00:00
E00234,U061,view,2025-02-01T06:00:00
E00235,U061,add_to_cart,2025-02-01T07:00:00
E00236,U061,purchase,2025-02-01T08:00:00
E00237,U062,signup,2025-02-02T06:00:00
E00238,U062,view,2025-02-02T07:00:00
E00239,U062,add_to_cart,2025-02-02T08:00:00
E00240,U062,purchase,2025-02-02T09:00:00
E00241,U063,signup,2025-02-03T00:00:00
E00242,U063,view,2025-02-03T01:00:00
E00243,U063,add_to_cart,2025-02-03T02:00:00
E00244,U063,active,2025-02-10T02:00:00
E00245,U064,signup,2025-02-04T01:00:00
E00246,U064,view,2025-02-04T02:00:00
E00247,U064,add_to_cart,2025-02-04T03:00:00
E00248,U064,purchase,2025-02-04T04:00:00
E00249,U065,signup,2025-02-05T02:00:00
E00250,U065,view,2025-02-05T03:00:00
E00251,U066,signup,2025-02-06T03:00:00
E00252,U066,view,2025-02-06T04:00:00
E00253,U066,add_to_cart,2025-02-06T05:00:00
E00254,U066,active,2025-02-13T05:00:00
E00255,U066,active,2025-02-16T03:00:00
E00256,U067,signup,2025-02-07T04:00:00
E00257,U067,view,2025-02-07T05:00:00
E00258,U067,add_to_cart,2025-02-07T06:00:00
E00259,U067,purchase,2025-02-07T07:00:00
E00260,U068,signup,2025-02-08T05:00:00
E00261,U068,view,2025-02-08T06:00:00
E00262,U068,add_to_cart,2025-02-08T07:00:00
E00263,U068,purchase,2025-02-08T08:00:00
E00264,U069,signup,2025-02-09T06:00:00
E00265,U069,view,2025-02-09T07:00:00
E00266,U069,add_to_cart,2025-02-09T08:00:00
E00267,U069,active,2025-02-16T08:00:00
E00268,U070,signup,2025-02-10T00:00:00
E00269,U070,view,2025-02-10T01:00:00
E00270,U071,signup,2025-02-11T01:00:00
E00271,U071,view,2025-02-11T02:00:00
E00272,U071,add_to_cart,2025-02-11T03:00:00
E00273,U071,purchase,2025-02-11T04:00:00
E00274,U072,signup,2025-02-12T02:00:00
E00275,U072,view,2025-02-12T03:00:00
E00276,U072,add_to_cart,2025-02-12T04:00:00
E00277,U072,active,2025-02-19T04:00:00
E00278,U073,signup,2025-02-13T03:00:00
E00279,U073,view,2025-02-13T04:00:00
E00280,U073,add_to_cart,2025-02-13T05:00:00
E00281,U073,purchase,2025-02-13T06:00:00
E00282,U074,signup,2025-02-14T04:00:00
E00283,U074,view,2025-02-14T05:00:00
E00284,U074,add_to_cart,2025-02-14T06:00:00
E00285,U074,purchase,2025-02-14T07:00:00
E00286,U075,signup,2025-02-15T05:00:00
E00287,U075,view,2025-02-15T06:00:00
E00288,U075,active,2025-02-22T07:00:00
E00289,U076,signup,2025-02-16T06:00:00
E00290,U076,view,2025-02-16T07:00:00
E00291,U076,add_to_cart,2025-02-16T08:00:00
E00292,U076,purchase,2025-02-16T09:00:00
E00293,U077,signup,2025-02-17T00:00:00
E00294,U077,view,2025-02-17T01:00:00
E00295,U077,add_to_cart,2025-02-17T02:00:00
E00296,U077,purchase,2025-02-17T03:00:00
E00297,U077,active,2025-02-27T00:00:00
E00298,U078,signup,2025-02-18T01:00:00
E00299,U078,view,2025-02-18T02:00:00
E00300,U078,add_to_cart,2025-02-18T03:00:00
E00301,U078,active,2025-02-25T03:00:00
E00302,U079,signup,2025-02-19T02:00:00
E00303,U079,view,2025-02-19T03:00:00
E00304,U079,add_to_cart,2025-02-19T04:00:00
E00305,U079,purchase,2025-02-19T05:00:00
E00306,U080,signup,2025-02-20T03:00:00
E00307,U080,view,2025-02-20T04:00:00
E00308,U081,signup,2025-03-01T04:00:00
E00309,U081,view,2025-03-01T05:00:00
E00310,U081,add_to_cart,2025-03-01T06:00:00
E00311,U082,signup,2025-03-02T05:00:00
E00312,U082,view,2025-03-02T06:00:00
E00313,U082,add_to_cart,2025-03-02T07:00:00
E00314,U082,purchase,2025-03-02T08:00:00
E00315,U083,signup,2025-03-03T06:00:00
E00316,U083,view,2025-03-03T07:00:00
E00317,U083,add_to_cart,2025-03-03T08:00:00
E00318,U083,purchase,2025-03-03T09:00:00
E00319,U084,signup,2025-03-04T00:00:00
E00320,U084,view,2025-03-04T01:00:00
E00321,U084,add_to_cart,2025-03-04T02:00:00
E00322,U084,active,2025-03-11T02:00:00
E00323,U085,signup,2025-03-05T01:00:00
E00324,U085,view,2025-03-05T02:00:00
E00325,U086,signup,2025-03-06T02:00:00
E00326,U086,view,2025-03-06T03:00:00
E00327,U086,add_to_cart,2025-03-06T04:00:00
E00328,U086,purchase,2025-03-06T05:00:00
E00329,U087,signup,2025-03-07T03:00:00
E00330,U087,view,2025-03-07T04:00:00
E00331,U087,add_to_cart,2025-03-07T05:00:00
E00332,U088,signup,2025-03-08T04:00:00
E00333,U088,view,2025-03-08T05:00:00
E00334,U088,add_to_cart,2025-03-08T06:00:00
E00335,U088,purchase,2025-03-08T07:00:00
E00336,U088,active,2025-03-15T06:00:00
E00337,U088,active,2025-03-18T04:00:00
E00338,U089,signup,2025-03-09T05:00:00
E00339,U089,view,2025-03-09T06:00:00
E00340,U089,add_to_cart,2025-03-09T07:00:00
E00341,U089,purchase,2025-03-09T08:00:00
E00342,U090,signup,2025-03-10T06:00:00
E00343,U090,view,2025-03-10T07:00:00
E00344,U091,signup,2025-03-11T00:00:00
E00345,U091,view,2025-03-11T01:00:00
E00346,U091,add_to_cart,2025-03-11T02:00:00
E00347,U091,purchase,2025-03-11T03:00:00
E00348,U092,signup,2025-03-12T01:00:00
E00349,U092,view,2025-03-12T02:00:00
E00350,U092,add_to_cart,2025-03-12T03:00:00
E00351,U092,purchase,2025-03-12T04:00:00
E00352,U092,active,2025-03-19T03:00:00
E00353,U093,signup,2025-03-13T02:00:00
E00354,U093,view,2025-03-13T03:00:00
E00355,U093,add_to_cart,2025-03-13T04:00:00
E00356,U094,signup,2025-03-14T03:00:00
E00357,U094,view,2025-03-14T04:00:00
E00358,U094,add_to_cart,2025-03-14T05:00:00
E00359,U094,purchase,2025-03-14T06:00:00
E00360,U095,signup,2025-03-15T04:00:00
E00361,U095,view,2025-03-15T05:00:00
E00362,U096,signup,2025-03-16T05:00:00
E00363,U096,view,2025-03-16T06:00:00
E00364,U096,add_to_cart,2025-03-16T07:00:00
E00365,U096,active,2025-03-23T07:00:00
E00366,U097,signup,2025-03-17T06:00:00
E00367,U097,view,2025-03-17T07:00:00
E00368,U097,add_to_cart,2025-03-17T08:00:00
E00369,U097,purchase,2025-03-17T09:00:00
E00370,U098,signup,2025-03-18T00:00:00
E00371,U098,view,2025-03-18T01:00:00
E00372,U098,add_to_cart,2025-03-18T02:00:00
E00373,U098,purchase,2025-03-18T03:00:00
E00374,U099,signup,2025-03-19T01:00:00
E00375,U099,view,2025-03-19T02:00:00
E00376,U099,add_to_cart,2025-03-19T03:00:00
E00377,U099,active,2025-03-29T01:00:00
E00378,U100,signup,2025-03-20T02:00:00
E00379,U100,view,2025-03-20T03:00:00
E00380,U100,active,2025-03-27T04:00:00
E00381,U101,signup,2025-03-01T03:00:00
E00382,U101,view,2025-03-01T04:00:00
E00383,U101,add_to_cart,2025-03-01T05:00:00
E00384,U101,purchase,2025-03-01T06:00:00
E00385,U102,signup,2025-03-02T04:00:00
E00386,U102,view,2025-03-02T05:00:00
E00387,U102,add_to_cart,2025-03-02T06:00:00
E00388,U103,signup,2025-03-03T05:00:00
E00389,U103,view,2025-03-03T06:00:00
E00390,U103,add_to_cart,2025-03-03T07:00:00
E00391,U103,purchase,2025-03-03T08:00:00
E00392,U104,signup,2025-03-04T06:00:00
E00393,U104,view,2025-03-04T07:00:00
E00394,U104,add_to_cart,2025-03-04T08:00:00
E00395,U104,purchase,2025-03-04T09:00:00
E00396,U104,active,2025-03-11T08:00:00
E00397,U105,signup,2025-03-05T00:00:00
E00398,U105,view,2025-03-05T01:00:00
E00399,U106,signup,2025-03-06T01:00:00
E00400,U106,view,2025-03-06T02:00:00
E00401,U106,add_to_cart,2025-03-06T03:00:00
E00402,U106,purchase,2025-03-06T04:00:00
E00403,U107,signup,2025-03-07T02:00:00
E00404,U107,view,2025-03-07T03:00:00
E00405,U107,add_to_cart,2025-03-07T04:00:00
E00406,U107,purchase,2025-03-07T05:00:00
E00407,U108,signup,2025-03-08T03:00:00
E00408,U108,view,2025-03-08T04:00:00
E00409,U108,add_to_cart,2025-03-08T05:00:00
E00410,U108,active,2025-03-15T05:00:00
E00411,U109,signup,2025-03-09T04:00:00
E00412,U109,view,2025-03-09T05:00:00
E00413,U109,add_to_cart,2025-03-09T06:00:00
E00414,U109,purchase,2025-03-09T07:00:00
E00415,U110,signup,2025-03-10T05:00:00
E00416,U110,view,2025-03-10T06:00:00
E00417,U110,active,2025-03-20T05:00:00
E00418,U111,signup,2025-03-11T06:00:00
E00419,U111,view,2025-03-11T07:00:00
E00420,U111,add_to_cart,2025-03-11T08:00:00
E00421,U112,signup,2025-03-12T00:00:00
E00422,U112,view,2025-03-12T01:00:00
E00423,U112,add_to_cart,2025-03-12T02:00:00
E00424,U112,purchase,2025-03-12T03:00:00
E00425,U112,active,2025-03-19T02:00:00
E00426,U113,signup,2025-03-13T01:00:00
E00427,U113,view,2025-03-13T02:00:00
E00428,U113,add_to_cart,2025-03-13T03:00:00
E00429,U113,purchase,2025-03-13T04:00:00
E00430,U114,signup,2025-03-14T02:00:00
E00431,U114,view,2025-03-14T03:00:00
E00432,U114,add_to_cart,2025-03-14T04:00:00
E00433,U115,signup,2025-03-15T03:00:00
E00434,U115,view,2025-03-15T04:00:00
E00435,U116,signup,2025-03-16T04:00:00
E00436,U116,view,2025-03-16T05:00:00
E00437,U116,add_to_cart,2025-03-16T06:00:00
E00438,U116,purchase,2025-03-16T07:00:00
E00439,U116,active,2025-03-23T06:00:00
E00440,U117,signup,2025-03-17T05:00:00
E00441,U117,view,2025-03-17T06:00:00
E00442,U117,add_to_cart,2025-03-17T07:00:00
E00443,U118,signup,2025-03-18T06:00:00
E00444,U118,view,2025-03-18T07:00:00
E00445,U118,add_to_cart,2025-03-18T08:00:00
E00446,U118,purchase,2025-03-18T09:00:00
E00447,U119,signup,2025-03-19T00:00:00
E00448,U119,view,2025-03-19T01:00:00
E00449,U119,add_to_cart,2025-03-19T02:00:00
E00450,U119,purchase,2025-03-19T03:00:00
E00451,U120,signup,2025-03-20T01:00:00
E00452,U120,view,2025-03-20T02:00:00
E00453,U120,active,2025-03-27T03:00:00
