subject_id,group,x,outcome
S0072,control,-0.700227,30.469992
S0073,control,-0.636298,44.426675
S0074,control,-0.147305,51.399676
S0075,control,0.601744,50.311076
S0076,control,-0.921648,46.941869
S0077,control,-1.157471,55.88373
S0078,control,-0.014126,45.997574
S0079,control,-0.701508,54.611246
S0080,control,0.079645,39.770909
S0081,control,0.524785,49.676304
S0082,control,-0.904209,41.291097
S0083,control,0.651961,60.802791
S0084,control,-0.209781,39.366343
S0085,control,0.02808,42.854933
S0086,control,-0.359245,66.109295
S0087,control,-1.215277,36.508988
S0088,control,0.397646,55.216259
S0089,control,-0.059204,51.352734
S0090,control,1.009853,44.328575
S0091,control,1.619478,56.173905
S0092,control,0.17839,44.622371
S0093,control,-2.513877,49.822349
S0094,control,-0.706751,47.074169
S0095,control,0.843926,43.537376
S0096,control,-0.150628,49.762464
S0097,control,-2.263213,52.262746
S0098,control,1.153394,59.80174
S0099,control,0.335003,56.666431
S0100,control,-1.115601,47.820121
S0101,control,-0.769584,44.501852
S0102,control,1.160902,47.663143
S0103,control,0.902479,42.492204
S0104,control,0.660653,57.604966
S0105,control,-0.201213,38.250759
S0106,control,0.850197,53.374304
S0107,control,-0.330617,51.333847
S0108,control,0.576721,56.387275
S0109,control,1.145913,47.170666
S0110,control,-0.019768,59.236627
S0111,control,-2.195266,44.945108
S0112,control,0.182714,42.193067
S0113,control,0.321825,48.524525
S0114,control,0.084534,49.753473
S0115,control,-1.148063,45.341077
S0116,control,-0.222689,47.175803
S0117,control,1.340996,53.8364
S0118,control,0.026981,43.721713
S0119,control,0.297544,76.56543
S0120,control,0.315267,45.32657
S0121,treatment,0.390931,51.965218
S0122,treatment,-0.629523,52.792153
S0123,treatment,-0.416357,58.147379
S0124,treatment,1.16849,57.624382
S0125,treatment,0.73558,60.79855
S0126,treatment,0.634473,63.087153
S0127,treatment,-1.007051,52.682577
S0128,treatment,0.171074,50.96091
S0129,treatment,0.415457,61.496049
S0130,treatment,0.048196,44.746675
S0131,treatment,0.695621,56.249262
S0132,treatment,-0.30127,47.781034
S0133,treatment,-1.636594,45.011684
S0134,treatment,0.810507,54.748269
S0135,treatment,0.006062,48.287253
S0136,treatment,-0.47936,39.692538
S0137,treatment,2.633614,59.747885
S0138,treatment,-1.497741,33.45705
S0139,treatment,-1.276726,47.311444
S0140,treatment,-0.428684,55.344352
S0141,treatment,-1.944497,64.849817
S0142,treatment,1.487592,65.75817
S0143,treatment,0.424535,68.535894
S0144,treatment,0.791178,48.731722
S0145,treatment,1.8019,51.980987
S0146,treatment,1.04132,54.69927
S0147,treatment,-1.674155,37.367704
S0148,treatment,0.432337,46.181823
S0149,treatment,-0.98094,46.096263
S0150,treatment,0.493107,51.90896
S0151,treatment,-0.290392,41.242002
S0152,treatment,-0.048478,57.767747
S0153,treatment,1.429402,59.758701
S0154,treatment,-1.1269,42.407252
S0155,treatment,0.397011,43.717477
S0156,treatment,0.144362,50.454185
S0157,treatment,-1.199707,53.956014
S0158,treatment,1.03646,57.056352
S0159,treatment,0.321725,37.091029
S0160,treatment,0.41713,50.773039
S0161,treatment,-1.240982,43.947194
S0162,treatment,0.955055,68.543139
S0163,treatment,-0.213787,42.138785
S0164,treatment,0.204322,42.471377
S0165,treatment,1.437118,53.562391
S0166,treatment,-1.5785,62.051633
S0167,treatment,0.640732,61.601087
S0168,treatment,-0.262554,54.617826
S0169,treatment,-0.220177,48.526504
S0170,treatment,1.724729,61.232363
S0171,treatment,-1.003209,52.607327
S0172,treatment,0.867346,57.176493
S0173,treatment,1.672368,68.128385
S0174,treatment,0.366984,60.335482
S0175,treatment,0.334699,57.246983
S0176,treatment,1.208993,69.877681
S0177,treatment,-1.522794,60.509877
S0178,treatment,-0.828485,58.421507
S0179,treatment,0.467785,41.007923
S0180,treatment,-0.877617,56.906112
S0181,treatment,-1.363016,44.71277
S0182,treatment,-0.635493,54.231907
S0183,treatment,-0.647622,35.789607
S0184,treatment,-0.037542,44.319314
S0185,treatment,0.940923,58.837529
S0186,treatment,1.010286,51.015591
S0187,treatment,0.050716,63.092395
S0188,treatment,0.146692,43.262779
S0189,treatment,-1.771908,38.77166
S0190,treatment,0.697609,63.217277
S0191,treatment,-0.261771,37.012122
S0192,treatment,1.359837,53.200909
S0193,treatment,-0.651399,49.444954
S0194,treatment,-0.19253,59.851816
S0195,treatment,-0.267194,63.845825
S0196,treatment,1.900852,67.089222
S0197,treatment,0.769977,47.474156
S0198,treatment,-0.530434,46.202524
S0199,treatment,-0.708491,48.75392
S0200,treatment,0.581517,59.541022
S0201,treatment,0.434815,52.07958
S0202,treatment,1.217111,44.850532
S0203,treatment,0.682533,59.393686
S0204,treatment,-0.086559,55.849163
S0205,treatment,-1.814794,37.461145
S0206,treatment,-0.357644,54.944121
S0207,treatment,-0.922583,50.499584
S0208,treatment,-1.048395,58.433711
S0209,treatment,-0.098541,59.957738
S0210,treatment,-0.983716,50.285814
S0211,treatment,-0.276991,51.609161
S0212,treatment,-0.058858,48.023868
S0213,treatment,-0.814263,54.373966
S0214,treatment,-0.497702,47.173609
S0215,treatment,0.316835,56.579026
S0216,treatment,1.320318,47.658995
S0217,treatment,-0.252006,66.854607
S0218,treatment,-0.429031,53.019318
S0219,treatment,1.512017,52.398478
S0220,treatment,0.801986,56.123036
S0221,treatment,0.45954,47.195542
S0222,treatment,1.594478,56.298565
S0223,treatment,-0.16424,61.075049
S0224,treatment,-0.203252,49.756942
S0225,treatment,0.903673,61.732234
S0226,treatment,-0.540651,48.372797
S0227,treatment,-0.042544,57.841217
S0228,treatment,-0.04905,63.075849
S0229,treatment,2.014821,79.470522
S0230,treatment,-1.01836,50.522207
S0231,treatment,0.555882,46.031502
S0232,treatment,-0.032368,67.941988
S0233,treatment,0.688377,48.507794
S0234,treatment,-0.190573,51.231234
S0235,treatment,1.369928,69.075175
S0236,treatment,0.637174,60.952453
S0237,treatment,-1.094913,49.317837
S0238,treatment,0.220573,52.696838
S0239,treatment,-0.80026,41.819715
S0240,treatment,-0.257898,53.621856
