transaction_id,region,category,product_id,member,quantity,discount,sales
T0079,East,Tech,P07,yes,5,0.2,149.4
T0080,West,Home,P08,yes,1,0.0,102.0
T0081,North,Office,P09,no,2,0.05,107.6
T0082,South,Tech,P10,yes,3,0.1,121.2
T0083,East,Home,P11,yes,4,0.2,140.8
T0084,West,Office,P12,no,5,0.0,123.4
T0085,North,Tech,P01,yes,1,0.05,86.2
T0086,South,Home,P02,yes,2,0.1,54.8
T0087,East,Office,P03,no,3,0.2,83.4
T0088,West,Tech,P04,yes,4,0.0,102.0
T0089,North,Home,P05,yes,5,0.05,98.6
T0090,South,Office,P06,no,1,0.1,55.2
T0091,East,Tech,P07,yes,2,0.2,119.8
T0092,West,Home,P08,yes,3,0.0,93.4
T0093,North,Office,P09,no,4,0.05,99.0
T0094,South,Tech,P10,yes,5,0.1,112.6
T0095,East,Home,P11,yes,1,0.2,111.2
T0096,West,Office,P12,no,2,0.0,93.8
T0097,North,Tech,P01,yes,3,0.05,135.4
T0098,South,Home,P02,yes,4,0.1,104.0
T0099,East,Office,P03,no,5,0.2,132.6
T0100,West,Tech,P04,yes,1,0.0,130.2
T0101,North,Home,P05,yes,2,0.05,126.8
T0102,South,Office,P06,no,3,0.1,46.6
T0103,East,Tech,P07,yes,4,0.2,111.2
T0104,West,Home,P08,yes,5,0.0,84.8
T0105,North,Office,P09,no,1,0.05,69.4
T0106,South,Tech,P10,yes,2,0.1,83.0
T0107,East,Home,P11,yes,3,0.2,102.6
T0108,West,Office,P12,no,4,0.0,85.2
T0109,North,Tech,P01,yes,5,0.05,126.8
T0110,South,Home,P02,yes,1,0.1,74.4
T0111,East,Office,P03,no,2,0.2,103.0
T0112,West,Tech,P04,yes,3,0.0,121.6
T0113,North,Home,P05,yes,4,0.05,118.2
T0114,South,Office,P06,no,5,0.1,95.8
T0115,East,Tech,P07,yes,1,0.2,139.4
T0116,West,Home,P08,yes,2,0.0,113.0
T0117,North,Office,P09,no,3,0.05,118.6
T0118,South,Tech,P10,yes,4,0.1,132.2
T0119,East,Home,P11,yes,5,0.2,94.0
T0120,West,Office,P12,no,1,0.0,55.6
T0121,North,Tech,P01,yes,2,0.05,97.2
T0122,South,Home,P02,yes,3,0.1,65.8
T0123,East,Office,P03,no,4,0.2,94.4
T0124,West,Tech,P04,yes,5,0.0,113.0
T0125,North,Home,P05,yes,1,0.05,88.6
T0126,South,Office,P06,no,2,0.1,66.2
T0127,East,Tech,P07,yes,3,0.2,130.8
T0128,West,Home,P08,yes,4,0.0,104.4
T0129,North,Office,P09,no,5,0.05,110.0
T0130,South,Tech,P10,yes,1,0.1,102.6
T0131,East,Home,P11,yes,2,0.2,122.2
T0132,West,Office,P12,no,3,0.0,104.8
T0133,North,Tech,P01,yes,4,0.05,146.4
T0134,South,Home,P02,yes,5,0.1,115.0
T0135,East,Office,P03,no,1,0.2,122.6
T0136,West,Tech,P04,yes,2,0.0,83.4
T0137,North,Home,P05,yes,3,0.05,80.0
T0138,South,Office,P06,no,4,0.1,57.6
T0139,East,Tech,P07,yes,5,0.2,122.2
T0140,West,Home,P08,yes,1,0.0,74.8
T0141,North,Office,P09,no,2,0.05,80.4
T0142,South,Tech,P10,yes,3,0.1,94.0
T0143,East,Home,P11,yes,4,0.2,113.6
T0144,West,Office,P12,no,5,0.0,96.2
T0145,North,Tech,P01,yes,1,0.05,116.8
T0146,South,Home,P02,yes,2,0.1,85.4
T0147,East,Office,P03,no,3,0.2,114.0
T0148,West,Tech,P04,yes,4,0.0,132.6
T0149,North,Home,P05,yes,5,0.05,129.2
T0150,South,Office,P06,no,1,0.1,85.8
T0151,East,Tech,P07,yes,2,0.2,150.4
T0152,West,Home,P08,yes,3,0.0,124.0
T0153,North,Office,P09,no,4,0.05,71.8
T0154,South,Tech,P10,yes,5,0.1,85.4
T0155,East,Home,P11,yes,1,0.2,84.0
T0156,West,Office,P12,no,2,0.0,66.6
T0157,North,Tech,P01,yes,3,0.05,108.2
T0158,South,Home,P02,yes,4,0.1,76.8
T0159,East,Office,P03,no,5,0.2,105.4
T0160,West,Tech,P04,yes,1,0.0,103.0
T0161,North,Home,P05,yes,2,0.05,99.6
T0162,South,Office,P06,no,3,0.1,77.2
T0163,East,Tech,P07,yes,4,0.2,141.8
T0164,West,Home,P08,yes,5,0.0,115.4
T0165,North,Office,P09,no,1,0.05,100.0
T0166,South,Tech,P10,yes,2,0.1,113.6
T0167,East,Home,P11,yes,3,0.2,133.2
T0168,West,Office,P12,no,4,0.0,115.8
T0169,North,Tech,P01,yes,5,0.05,157.4
T0170,South,Home,P02,yes,1,0.1,47.2
T0171,East,Office,P03,no,2,0.2,75.8
T0172,West,Tech,P04,yes,3,0.0,94.4
T0173,North,Home,P05,yes,4,0.05,91.0
T0174,South,Office,P06,no,5,0.1,68.6
T0175,East,Tech,P07,yes,1,0.2,112.2
T0176,West,Home,P08,yes,2,0.0,85.8
T0177,North,Office,P09,no,3,0.05,91.4
T0178,South,Tech,P10,yes,4,0.1,105.0
T0179,East,Home,P11,yes,5,0.2,124.6
T0180,West,Office,P12,no,1,0.0,86.2
T0181,North,Tech,P01,yes,2,0.05,127.8
T0182,South,Home,P02,yes,3,0.1,96.4
T0183,East,Office,P03,no,4,0.2,125.0
T0184,West,Tech,P04,yes,5,0.0,143.6
T0185,North,Home,P05,yes,1,0.05,119.2
T0186,South,Office,P06,no,2,0.1,96.8
T0187,East,Tech,P07,yes,3,0.2,103.6
T0188,West,Home,P08,yes,4,0.0,77.2
T0189,North,Office,P09,no,5,0.05,82.8
T0190,South,Tech,P10,yes,1,0.1,75.4
T0191,East,Home,P11,yes,2,0.2,95.0
T0192,West,Office,P12,no,3,0.0,77.6
T0193,North,Tech,P01,yes,4,0.05,119.2
T0194,South,Home,P02,yes,5,0.1,87.8
T0195,East,Office,P03,no,1,0.2,95.4
T0196,West,Tech,P04,yes,2,0.0,114.0
T0197,North,Home,P05,yes,3,0.05,110.6
T0198,South,Office,P06,no,4,0.1,88.2
T0199,East,Tech,P07,yes,5,0.2,152.8
T0200,West,Home,P08,yes,1,0.0,105.4
T0201,North,Office,P09,no,2,0.05,111.0
T0202,South,Tech,P10,yes,3,0.1,124.6
T0203,East,Home,P11,yes,4,0.2,144.2
T0204,West,Office,P12,no,5,0.0,69.0
T0205,North,Tech,P01,yes,1,0.05,89.6
T0206,South,Home,P02,yes,2,0.1,58.2
T0207,East,Office,P03,no,3,0.2,86.8
T0208,West,Tech,P04,yes,4,0.0,105.4
T0209,North,Home,P05,yes,5,0.05,102.0
T0210,South,Office,P06,no,1,0.1,58.6
T0211,East,Tech,P07,yes,2,0.2,123.2
T0212,West,Home,P08,yes,3,0.0,96.8
T0213,North,Office,P09,no,4,0.05,102.4
T0214,South,Tech,P10,yes,5,0.1,116.0
T0215,East,Home,P11,yes,1,0.2,114.6
T0216,West,Office,P12,no,2,0.0,97.2
T0217,North,Tech,P01,yes,3,0.05,138.8
T0218,South,Home,P02,yes,4,0.1,107.4
T0219,East,Office,P03,no,5,0.2,136.0
T0220,West,Tech,P04,yes,1,0.0,133.6
T0221,North,Home,P05,yes,2,0.05,72.4
T0222,South,Office,P06,no,3,0.1,50.0
T0223,East,Tech,P07,yes,4,0.2,114.6
T0224,West,Home,P08,yes,5,0.0,88.2
T0225,North,Office,P09,no,1,0.05,72.8
T0226,South,Tech,P10,yes,2,0.1,86.4
T0227,East,Home,P11,yes,3,0.2,106.0
T0228,West,Office,P12,no,4,0.0,88.6
T0229,North,Tech,P01,yes,5,0.05,130.2
T0230,South,Home,P02,yes,1,0.1,77.8
T0231,East,Office,P03,no,2,0.2,106.4
T0232,West,Tech,P04,yes,3,0.0,125.0
T0233,North,Home,P05,yes,4,0.05,121.6
T0234,South,Office,P06,no,5,0.1,99.2
T0235,East,Tech,P07,yes,1,0.2,142.8
T0236,West,Home,P08,yes,2,0.0,116.4
T0237,North,Office,P09,no,3,0.05,122.0
T0238,South,Tech,P10,yes,4,0.1,77.8
T0239,East,Home,P11,yes,5,0.2,97.4
T0240,West,Office,P12,no,1,0.0,59.0
